Unnamed: 0,spam,subject,body,attachment,reply,forward
3279,0,Subject: re : pymt for 03 / 01 sales adjustment for cowtrap,"
mary - confirmed $ 5 . 30 price per correct deal for cowtrap & will send corrected invoice to you via e - mail for this .
requested 04 / 01 price confirm for blue dolphin . will try to get something to you today !
darren farmer -
can you confirm if 04 / 01 sales price for sa - 745578 , if - $ . 06 per entry in sitara or if - $ . 07 per sandra werner ' s e - mail ( will forward to you )
thanks !
tess
- - - - - original message - - - - -
from : "" trochta , mary ( ml ) "" @ enron [ mailto : imceanotes - + 22 trochta + 2 c + 20 mary + 20 + 28 ml + 29 + 22 + 20 + 3 cmltrochta + 40 dow + 2 ecom + 3 e + 40 enron @ enron . com ]
sent : thursday , may 24 , 2001 2 : 47 pm
to : ray , tess
subject : re : pymt for 03 / 01 sales adjustment for cowtrap
tess , i ' m sorry , but i cannot pay according to your invoice . can you please
send a revised invoice for bluedolphin ? can just e - mail it .
- - - - - original message - - - - -
from : tess . ray @ enron . com [ mailto : tess . ray @ enron . com ]
sent : thursday , may 24 , 2001 2 : 44 pm
to : mltrochta @ dow . com
subject : re : pymt for 03 / 01 sales adjustment for cowtrap
importance : high
price is per deal entry and confirmed . just pay what you show , that ' s fine
for now .
- - - - - original message - - - - -
from : "" trochta , mary ( ml ) "" @ enron
ecom + 3 e + 40 enron @ enron . com ]
sent : thursday , may 24 , 2001 2 : 37 pm
to : ray , tess
cc : wehner , sandra ( sl )
subject : re : pymt for 03 / 01 sales adjustment for cowtrap
tess ,
we are showing a price of $ 5 . 30 for bluedolphin and cowtrap . please
check
your price . you are showing $ 5 . 31 .
- - - - - original message - - - - -
from : tess . ray @ enron . com [ mailto : tess . ray @ enron . com ]
sent : thursday , may 24 , 2001 2 : 17 pm
to : mltrochta @ dow . com
subject : re : pymt for 03 / 01 sales adjustment for cowtrap
importance : high
here is invoice for cowtrap . can you set it up for pymt too ? if so what
date ?
( see attached file : invoice - cowtrap 0401 . xls )
- - - - - original message - - - - -
from : "" trochta , mary ( ml ) "" @ enron
ecom + 3 e + 40 enron @ enron . com ]
sent : thursday , may 24 , 2001 1 : 38 pm
to : ray , tess
subject : re : pymt for 03 / 01 sales adjustment for cowtrap
hello tess ,
the $ 3 , 154 . 56 is set up for payment tomorrow 5 / 25 / 01 . i will get the
bluedolphin set up for payment on 5 / 29 / 01 .
thank you .
- - - - - original message - - - - -
from : ray , tess [ mailto : tess . ray @ enron . com ]
sent : thursday , may 24 , 2001 1 : 30 pm
to : mltrochta @ dow . com
subject : pymt for 03 / 01 sales adjustment for cowtrap
importance : high
hi !
also -
when will you send pymt for 03 / 01 sales adjustment ( inv # 2594 sa ,
amt .
$ 3 , 154 . 56 , due date 5 / 25 / 01 ) ?
thanks !
tess ray
tess . ray @ enron . com
contract accountant , gas settlements ( sales )
houston pipe line co .
1201 louisiana , la 1524 b
houston , tx . 77002
tel : 713 - 571 - 3274 fax : 713 - 646 - 8875",1,1,0
1874,0,Subject: re : first delivery - spinaker exploration,"
vance ,
deal # 379424 has been adjusted to reflect an increase in volume as noted
below .
bob
vance l taylor
10 / 19 / 2000 03 : 36 pm
to : robert cotten / hou / ect @ ect
cc : julie meyers / hou / ect @ ect , cynthia hakemack / hou / ect @ ect , susan
smith / hou / ect @ ect , donald p reinhardt / hou / ect @ ect , melissa graves / hou / ect @ ect
subject : first delivery - spinaker exploration
bob ,
the following production is now on - line and sitara ticket # 379424 should be
modified to reflect the following :
counterparty meter volumes price period global no .
spinnaker exploration 9848 1000 mmbtu / d 100 % gas daily less $ 0 . 21 10 / 17 -
10 / 31 96047295
julie ,
please note the committed reserves global contract number for attachment .
thanks ,
vlt
x 3 - 6353
- - - - - - - - - - - - - - - - - - - - - - forwarded by vance l taylor / hou / ect on 10 / 19 / 2000
03 : 34 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
from : esther buckley 10 / 19 / 2000 03 : 13 pm
to : molly l carriere / hou / ect @ ect , clem cernosek / hou / ect @ ect , donna
consemiu / hou / ect @ ect , robert cook / hou / ect @ ect , howard b camp / hou / ect @ ect ,
lisa hesse / hou / ect @ ect , nathan l hlavaty / hou / ect @ ect , wayne e
lightfoot / hou / ect @ ect , james mckay / hou / ect @ ect , mary m smith / hou / ect @ ect ,
steve hpl schneider / hou / ect @ ect , melissa graves / hou / ect @ ect , michael
walters / hou / ect @ ect , eric wardle / hou / ect @ ect , jill t zivley / hou / ect @ ect , mary
jo johnson / hou / ect @ ect , rita wynne / hou / ect @ ect , lauri a allen / hou / ect @ ect ,
cheryl jones / gpgfin / enron @ enron , reid hansen / gco / enron @ enron , darron c
giron / hou / ect @ ect , o ' neal d winfree / hou / ect @ ect , susan smith / hou / ect @ ect ,
gary bryan / hou / ect @ ect , gary a hanks / hou / ect @ ect , donald p
reinhardt / hou / ect @ ect , vance l taylor / hou / ect @ ect , david
baumbach / hou / ect @ ect , robert cotten / hou / ect @ ect , brian m riley / hou / ect @ ect ,
jeffrey a austin / hou / ect @ ect , cynthia hakemack / hou / ect @ ect , dawn c
kenne / hou / ect @ ect , lisa csikos / hou / ect @ ect , kristen j hanson / hou / ect @ ect , j r
fosdick / gco / enron @ enron , carlos j rodriguez / hou / ect @ ect , stephanie
gomes / hou / ect @ ect , pat clynes / corp / enron @ enron , tom acton / corp / enron @ enron ,
robert walker / hou / ect @ ect , george weissman / hou / ect @ ect , joanne
harris / na / enron @ enron , christy sweeney / hou / ect @ ect , earl tisdale / hou / ect @ ect
cc :
subject : first delivery - spinaker exploration
see attached file",1,1,1
560,0,Subject: re : first delivery - texaco e & p,"
new deal number is 229481
susan smith @
ect
03 / 27 / 2000 02 : 24 pm
to : tom acton / corp / enron @ enron , julie meyers / hou / ect @ ect
cc :
subject : re : first delivery - texaco e & p
tom :
would you please set up another one month ticket for the below ( last month
was 211573 ) ?
julie :
per melissa ' s note please do not send out any paper on this . we expect the
paper within a day or so .
please let me know if you have any questions ,
thanks , scs x 33321
- - - - - - - - - - - - - - - - - - - - - - forwarded by susan smith / hou / ect on 03 / 27 / 2000 02 : 20
pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
enron north america corp .
from : melissa graves 03 / 27 / 2000 02 : 12 pm
to : susan smith / hou / ect @ ect
cc :
subject : re : first delivery - texaco e & p
yes , but i would request that julie not send out paper since this should be
back signed shortly . i noticed the deal vance requested below ( which tom set
up as deal 211573 ) is attached to a committed reserves agreement that does
not cover this meter .
melissa
susan
smith
03 / 27 / 2000 12 : 27 pm
to : melissa graves / hou / ect @ ect
cc :
subject : first delivery - texaco e & p
can we just use this for april rather then putting in a one month firm ticket
( since we dont have paper anyway ) ?
thanks ,
scs
- - - - - - - - - - - - - - - - - - - - - - forwarded by susan smith / hou / ect on 03 / 27 / 2000 12 : 24
pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
vance l taylor
03 / 03 / 2000 04 : 30 pm
to : tom acton / corp / enron @ enron
cc : julie meyers / hou / ect @ ect , susan smith / hou / ect @ ect , donald p
reinhardt / hou / ect @ ect , melissa graves / hou / ect @ ect
subject : first delivery - texaco e & p
tom ,
the following production has commenced to flow and a ticket should be
generated in sitara based upon the information below :
counterparty meter volumes price period
texaco e & p 9826 2 , 000 mmbtu / d 100 % if / hsc less $ 0 . 09 3 / 3 - 3 / 31 / 2000
thanks ,
vlt
x 3 - 6353
- - - - - - - - - - - - - - - - - - - - - - forwarded by vance l taylor / hou / ect on 03 / 03 / 2000
04 : 14 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
from : esther buckley 03 / 03 / 2000 01 : 23 pm
to : molly l carriere / hou / ect @ ect , clem cernosek / hou / ect @ ect , donna
consemiu / hou / ect @ ect , robert cook / hou / ect @ ect , howard b camp / hou / ect @ ect ,
lisa hesse / hou / ect @ ect , nathan l hlavaty / hou / ect @ ect , wayne e
lightfoot / hou / ect @ ect , james mckay / hou / ect @ ect , mary m smith / hou / ect @ ect ,
steve schneider / hou / ect @ ect , melissa graves / hou / ect @ ect , michael
walters / hou / ect @ ect , eric wardle / hou / ect @ ect , jill t zivley / hou / ect @ ect , mary
jo johnson / hou / ect @ ect , rita wynne / hou / ect @ ect , michael w morris / hou / ect @ ect ,
cheryl jones / gpgfin / enron @ enron , reid hansen / gco / enron @ enron , darron c
giron / hou / ect @ ect , o ' neal d winfree / hou / ect @ ect , susan smith / hou / ect @ ect ,
gary bryan / hou / ect @ ect , gary a hanks / hou / ect @ ect , donald p
reinhardt / hou / ect @ ect , vance l taylor / hou / ect @ ect , brenda f
herod / hou / ect @ ect , david baumbach / hou / ect @ ect , bryan hull / hou / ect @ ect , brian
m riley / hou / ect @ ect , jeffrey a austin / hou / ect @ ect , cynthia
hakemack / hou / ect @ ect , dawn c kenne / hou / ect @ ect , lisa csikos / hou / ect @ ect ,
kristen j hanson / hou / ect @ ect , heidi withers / hou / ect @ ect , j r
fosdick / gco / enron @ enron , carlos j rodriguez / hou / ect @ ect , stephanie
gomes / hou / ect @ ect , pat clynes / corp / enron @ enron , tom acton / corp / enron @ enron ,
robert walker / hou / ect @ ect
cc :
subject : first delivery - texaco e & p
see attached file",1,1,1
3091,0,Subject: re : fw : first deliveries - pure resources and louis dreyfus natural,"
gas
vance ,
deals have been created and entered in sitara as noted below :
bob
from : vance l taylor / enron @ enronxgate on 04 / 18 / 2001 11 : 35 am
to : robert cotten / hou / ect @ ect
cc : julie meyers / hou / ect @ ect , lisa hesse / hou / ect @ ect , cynthia hakemack / hou / ect @ ect , susan smith / enron @ enronxgate , donald p reinhardt / enron @ enronxgate , melissa graves / enron @ enronxgate , george weissman / hou / ect @ ect
subject : fw : first deliveries - pure resources and louis dreyfus natural gas
bob ,
the following production is now on - line and a ticket should be created and entered into sitara based on the following :
counterparty meter volumes deal # price period global no .
louis dreyfus nat gas corp 9874 750 mmbtu / d 740193 if del vols 300 / d , 100 % gd less $ 0 . 29 4 / 12 - 4 / 30 96058618
pure resources , l . p . 9882 425 mmbtu / d 740198 100 % gd less $ 0 . 14 4 / 17 - 4 / 30 96058384
fyi , we will create and submit committed reserves firm tickets for the remaining term of the deals beginning with the appropiate month . additionally , these are producer svcs . deals and should be tracked in the im wellhead portfolio . . . attached to the gathering contract .
thanks ,
vlt
x 3 - 6353
- - - - - original message - - - - -
from : buckley , esther
sent : wednesday , april 18 , 2001 10 : 53 am
to : carriere , molly ; cernosek , clem ; consemiu , donna ; cook , robert ; camp , howard ; hesse , lisa ; hlavaty , nathan ; wayne e lightfoot / hou / ect @ enron ; mckay , james ; smith , mary ; schneider , steve hpl ; melissa graves / hou / ect @ enron ; walters , michael ; zivley , jill ; johnson , mary jo ; wynne , rita ; allen , lauri ; jones , cheryl ; hansen , reid ; giron , darron ; winfree , o ' neal ; susan smith / hou / ect @ enron ; bryan , gary ; hanks , gary ; donald p reinhardt / hou / ect @ enron ; vance l taylor / hou / ect @ enron ; baumbach , david ; cotten , robert ; riley , brian ; austin , jeff ; hakemack , cynthia ; kenne , dawn ; lisa csikos / hou / ect @ enron ; fosdick , j r ; rodriguez , carlos ; gomes , stephanie ; clynes , pat ; acton , tom ; walker , robert ; weissman , george ; harris , joanne ; sweeney , christy ; tisdale , earl ; daren j farmer / hou / ect @ enron
subject : first deliveries - pure resources and louis dreyfus natural gas
see attached files",1,1,1
3379,0,Subject: re : gisb contracts for intrastate and interstate gas,"
mr . farmer ,
i have forwarded your request with comments to debra perlingiere ( legal specialist - x 3 - 7658 ) and stacey dickson ( sr . counsel - x 3 - 5705 ) who handle negotiations for new master agreements . please let me know if i may be of further assistance .
thank you ,
anthony campos
enron corp . _ global contracts
713 . 853 . 7911 ( office )
713 . 646 . 2495 ( fax )
713 . 709 . 0373 ( pager )
anthony . campos @ enron . com
- - - - - original message - - - - -
from : farmer , daren j .
sent : wednesday , july 11 , 2001 12 : 41 pm
to : campos , anthony
subject : fw : gisb contracts for intrastate and interstate gas
anthony ,
please contact keith ford at txu fuel and give him the info he needs to prepare a contract with ena ( tax id , payment info , etc . ) . we need this to be effective june 1 , 2001 . if you are not the correct person to handle this , please forward to the appropriate person . thanks .
d
- - - - - original message - - - - -
from : "" keith ford "" @ enron [ mailto : imceanotes - + 22 keith + 20 ford + 22 + 20 + 3 ckfordl + 40 txu + 2 ecom + 3 e + 40 enron @ enron . com ]
sent : friday , may 25 , 2001 2 : 01 pm
to : dfarmer @ enron . com
subject : gisb contracts for intrastate and interstate gas
at the request of lynn handlin , please find attached a copy of the following :
gisb contract form
special provisions for intrastate gas
special provision for interstate gas
please review , and if interested in putting these contracts in place , forward to
me all required information on the first page of the gisb contract form . i will
then have the contracts prepared and forwarded to you for execution .
please keep in mind that txu fuel company is an intrastate pipeline and can
purchase interstate gas only under certain limited conditions . these conditions
are covered under item number 8 in the special provisions . thanks .
keith ford
txu fuel company
contract administration supervisor
( see attached file : gisb form - final . doc ) ( see attached file : gisb spec prov -
intra - final . doc ) ( see attached file : gisb spec prov - inter - final . doc )
- gisb form - final . doc >
- gisb spec prov - intra - final . doc >
- gisb spec prov - inter - final . doc >",1,1,0
2499,0,Subject: re : valero ' s february gas nominations,"
thanks .
also , rohm & haas , meter 1506 , is looking for 24 . 000 for feb . instead of
27 . 000 . they take the swing . would you like me to change the deal or keep
it as is ?
daren j farmer
01 / 31 / 2001 08 : 13 am
to : aimee lannou / hou / ect @ ect
cc :
subject : re : valero ' s february gas nominations
you can change the tickets . thanks .
d
aimee lannou 01 / 31 / 2001 08 : 05 am
to : daren j farmer / hou / ect @ ect
cc :
subject : valero ' s february gas nominations
daren - i am looking for 5 . 000 / d at meter 1394 and 10 . 000 / d at meter 8018 for
feb . currently it is 10 . 000 / d at 1394 and 5 . 000 / d at 8018 . can i change
the tickets or will you ? attached is the confirmation spreadsheet from
valero .
thanks .
aimee
- - - - - - - - - - - - - - - - - - - - - - forwarded by aimee lannou / hou / ect on 01 / 31 / 2001 07 : 54
am - - - - - - - - - - - - - - - - - - - - - - - - - - -
on 01 / 30 / 2001 02 : 51 : 39 pm
to : alannou @ enron . com , carlos . j . rodriguez @ enron . com
cc :
subject : valero ' s february gas nominations
amy and carlos ,
please find attached valero ' s baseload natural gas nominations and
designated swing supply quantities for february 1 - 31 for the houston and
texas city refineries as well as valero ' s supply to the clearlake methanol
plant .
if you need to reach me please call me .
dave
phone : ( 210 ) 370 - 2799
cell phone at ( 210 ) 241 - 9180
pager ( 888 ) 691 - 5538
( see attached file : hpl _ nomso 201 . xls )
- hpl _ nomso 201 . xls",1,1,1
786,0,Subject: re :,"
if you have a spot for him . i am also going to send it along to the it hr
contact .
- - - - - - - - - - - - - - - - - - - - - - forwarded by david baumbach / hou / ect on 05 / 19 / 2000
02 : 42 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
aorr @ dynegy . com on 05 / 19 / 2000 02 : 28 : 26 pm
to : david . baumbach @ enron . com
cc :
subject : re :
here is neal ' s resume . he will be at the knoxville address and phone # for the
next couple of weeks . he is going to come down and stay with me around june 1 .
my home number is 713 - 290 - 8434 . hy home address is 955 w . 42 nd street ,
houston ,
77018 . my work number is 713 - 767 - 8774 .
( see attached file : norrres . doc )
- norrres . doc",1,1,1
3659,0,Subject: re : intrastate and 311 contracts for guadalupe pipeline .,"
daren ,
you would need to contact the credit department in denver , co . please
contact andy walls at 720 - 944 - 9541 . he is the credit manager .
chris
daren . j . farmer
@ enron . com to : cgsyzdek @ duke - energy . com
cc :
01 / 07 / 02 02 : 07 subject : re : intrastate and 311 contracts for guadalupe pipeline .
pm
chris ,
what credit requirements to you have for a new entity with an "" a "" credit
rating ?
daren
- - - - - original message - - - - -
from : "" christopher g syzdek "" @ enron
sent : friday , january 04 , 2002 3 : 52 pm
to : farmer , daren j .
cc : brian kerns
subject : intrastate and 311 contracts for guadalupe pipeline .
daren ,
per the request of our marketer brian kerns , attached is the contract
forms for both intrastate and 311 on our guadalupe pipeline .
( see attached file : form guadalupe insrastate transportation
contract . doc )
( see attached file : exhibit a - intra new 8 - 31 - 01 . doc ) ( see attached file :
exhibit b - intra new 8 - 31 - 01 . doc )
( see attached file : form guadalupe 311 transportation agreement . doc ) ( see
attached file : exhibit a - 311 new 8 - 31 - 01 . doc ) ( see attached file : exhibit
b - 311 new 8 - 31 - 01 . doc )
please call me if you have any questions .
chris syzdek
senior contract analyst
713 - 627 - 6485
- form guadalupe insrastate transportation contract . doc >
- exhibit a - intra new 8 - 31 - 01 . doc >
- exhibit b - intra new 8 - 31 - 01 . doc >
- form guadalupe 311 transportation agreement . doc >
- exhibit a - 311 new 8 - 31 - 01 . doc >
- exhibit b - 311 new 8 - 31 - 01 . doc >
this e - mail is the property of enron corp . and / or its relevant affiliate
and may contain confidential and privileged material for the sole use of
the intended recipient ( s ) . any review , use , distribution or disclosure by
others is strictly prohibited . if you are not the intended recipient ( or
authorized to receive for the recipient ) , please contact the sender or
reply to enron corp . at enron . messaging . administration @ enron . com and delete
all copies of the message . this e - mail ( and any attachments hereto ) are not
intended to be an offer ( or an acceptance ) and do not create or evidence a
binding and enforceable contract between enron corp . ( or any of its
affiliates ) and the intended recipient or any other party , and may not be
relied on by anyone as the basis of a contract by estoppel or otherwise .
thank you .
",1,1,0
1847,0,Subject: re :,"
i spoke with tufco and they are planning to confirm the 20000 that flowed on
march 28 . i will revise their obligations and pass it forward .
ami
- - - - - - - - - - - - - - - - - - - - - - forwarded by ami chokshi / corp / enron on 10 / 18 / 2000
10 : 56 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
"" charlie stone "" on 10 / 17 / 2000 05 : 13 : 43 pm
to : ami . chokshi @ enron . com
cc :
subject : re :
ami ,
i think you ' re referring to the 28 th . on the 15 th we reported 30 at the hpl
ls
katy i . c . below is a copy of the note you originally sent me back on
10 / 05 / 00 .
i called gary gafford , but only got through to his voice mail . i requested he
call me tomorrow to clear this up . unless i hear otherwise , i will proceed
for
a correction on march 28 th , not march 15 th .
thanks ,
ccs
charlie ,
here is a breakout for the volumes that have been paid on . we are off by
approximately 20000 according to what was billed vs what was paid . could
you peruse the worksheet for discrepancies . we are off by 20 , 000 in march
( 28 th ) . our logs show that 20000 flowed on that day at ls ( meter 67 ) . i ' ve
attached the email showing the revision for that day below . based on paid
amounts , the remaining obligations are as follows :
iferc 2 , 680 , 000
iferc + gas daily 6 , 895 , 252
please advise .
regards ,
ami
( see attached file : tufco . xls )
revision # 1
ls hpl katy 20 . 000 / hpl gas daily
- - - - - - - - - - - - - - - - - - - - - - forwarded by melissa jones / texas utilities on
03 / 29 / 2000
02 : 35 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
melissa jones
03 / 29 / 2000 11 : 09 am
to : charlie stone / texas utilities @ tu , gary green / texas utilities @ tu , tim
powell / lsp / enserch / us @ tu , daren . j . farmer @ enron . com ,
gary . a . hanks @ enron . com , carlos . j . rodriguez @ enron . com ,
earl . tisdale @ enron . com , ami . chokshi @ enron . com
cc :
subject : enron / hpl actuals for march 28 , 2000
teco tap 50 . 750 / hpl gas daily
ami . chokshi @ enron . com on 10 / 17 / 2000 04 : 25 : 29 pm
to : charlie stone / texas utilities @ tu
cc :
subject :
hey charlie ,
do we have any resolution for the ls discrepancy of 20 , 000 on march 15 ?
again , gary would not confirm it with us , so can you work your magic ?
ami",1,1,1
2901,0,Subject: re : guadalupe meter diagram,"
daren , here ' s a simplified schematic on the major interconnects to our
guadalupe pipeline . hope it helps .
( see attached file : guadalupe pipeline . ppt )
- guadalupe pipeline . ppt",1,1,0
